text,gold_label,source
god i am so stressed to the point of suicide.,Magnification,annotated
"I cannot communicate with her in almost every aspect in my life, because we cannot understand each other.",Overgeneralization,annotated
"I just started sophomore year and things suck. My parents get mad at me for every little detail of my life. I have okay grades and shitty friends. Worst of all I hate everything that is breathing, heck I hate object too. Today I thought to myself I hate everything, but jokes on them I hate myself more.  I’m too dumb to get into college for Knowledge I want to leave the stupid state that I live in and live somewhere were nobody knows me and they don’t have any ideas of who I am.  I feel like a waste of time and only think that the future will worsen and I will never find love or a decent friend.",Mental filter,annotated
"I know this needs to be taken care of by a professional, but I have no idea how to get them help when neither of us have the resources to do so.",Should statements,annotated
"I know the fear is irrational, I have no idea how I became afraid of it, I have been my whole life.  When I hear someone cough, I get very angry very fast and I feel an impulse to hurt them, but instead of hurting them I hurt myself (punching myself, hitting my head).",Should statements,annotated
"I’m 20 years old and I suffer from a Borderline personality disorder, which has been hell to deal with and try and change.",Magnification,annotated
I’ve stopped seeing any doctors and i’m about to give up trying tbh and i don’t have the power to go find a new good doctor and start the whole journey again with him/her..,All-or-Nothing Thinking,annotated
I was stupid for not saying stop it but I was so scared.,Labeling,annotated
i feel unwanted by people and like i always give more than other people and feel under-appreciated.,Mind Reading,annotated
"Despite the fact that we now have an alarm system, dogs, etc. I still do not feel safe. This fear often keeps me up at night, listening for any noises or looking out for anything out of the ordinary. During this time i often experience panic attack like symptoms as well as extreme paranoia.",Magnification,annotated
And now i never think that my fearest day will come when everyone find out what’s the true.,Fortune-telling,annotated
It has gotten to the point where people take a quick glance at me whenever they see me because they think I am going to take an offensive look at them.,Mind Reading,annotated
I was quite insecure.,Labeling,annotated
I do know she’s better not knowing every detail but I feel she can handle a PG version of the truth.,Should statements,annotated
This has also affected my ability to trust people in my life now.,Overgeneralization,annotated
"Maybe because of her, I’ve always being skeptical about marriage, thinking if all men will cheat–there will be no point of being married.",Overgeneralization,annotated
"I hold myself to absurd expectations even when I know rationally that I shouldn’t. I seek unnecessary validation from people I shouldn’t, and then feel guilty about receiving validation.",Should statements,annotated
You feel strange and different from everybody else (because you ‘are’ different).,Labeling,annotated
"that, plus a lot of other horrible happenings in relationships (friendships mainly), has led me to a state of constant alert, where i can’t enjoy my friends company because i’m constantly thinking on how to make >them< enjoy mine.",Magnification,annotated
His lack of communication has made it impossible to get him professional help.,Overgeneralization,annotated
I’m doing a litany of self-help wellness things that have taken over my entire life and I’m just getting worse.,Magnification,annotated
I think he is anxious about working as he has been retired for 7 1/2 years.,Mind Reading,annotated
TO realize I am incapable of emotion for anything or anyone.,Overgeneralization,annotated
I am very stressed out and worried that this is a sign of a greater problem and that she will be kicked out of her apartment.,Fortune-telling,annotated
Talking to even one person leaves me emotionally drained and I feel like I need to go to bed.,Magnification,annotated
I feel like I’ll never be free of them.,Fortune-telling,annotated
Nobody loves me I feel lost and confused.  I am very rational and I know it was wrong but in the end it didn’t matter anyways.,Overgeneralization,annotated
"We grew up together and had a fine relationship back then. Up until I turned into a teenager in high school, her attitude started to change.",All-or-Nothing Thinking,annotated
She is a very jealous type of woman who has not allowed him to have female friends.,Labeling,annotated
"It doesn’t matter the amount of water I consume, because I don’t feel satisfied — but ordinarily, I am very DEHYDRATED! –and I ABSOLUTELY, NEED to consume more liquids, but I never feel thirsty unless I eat something, but I simply eat too many things (that are processed!) I’ve tried to rid myself of this addiction, but that would mean cutting all processed things, because I couldn’t handle it otherwise.",All-or-Nothing Thinking,annotated
I find myself with a unique sort of thinking for a long time ( a few years now)which finds ultimate worthlessness in achievements in life and therefore experiencing significant lack of interest in life affairs.,Overgeneralization,annotated
"I feel like I’m out of options and I’m worried about my younger sister of what she’ll think of the situation in the future.  I don’t know why I committed those actions of mine, but I believe bullying and watching inappropriate videos played a role. I recall being constantly bullied at school and tried to fit in the crowd. I don’t want to blame on anyone or my surroundings for the incident.",Mind Reading,annotated
She knows she has memory problems and is not in denial–she just wants to avoid doing anything about it.,Mind Reading,annotated
"Growing up my sister has always resented me, she’s bullied me throughout my life, even publicly shaming me on Facebook and Twitter regularly. She talks down to me in every conversation and makes nasty digs any chance she gets and doesn’t hold back in front of my parents.",Overgeneralization,annotated
"I don’t know if I can tell my therapist, but it’s eating me alive. I don’t know if these instances count legally as indecency to a minor.",Magnification,annotated
My mother died about 2 years ago but even before that I was always depressed as far as I can remember.,Overgeneralization,annotated
My main concern is that these voices aren’t a cause of my bipolar but a whole new illness (maybe schizophrenia) starting to present itself.,Overgeneralization,annotated
I think about things no one else really cares about.,Mind Reading,annotated
But she seems to easily disconnect from what she’s done and does & doesn’t seems to care how much she is hurting and worrying everyone.,Mind Reading,annotated
"She is now in her late thirties and abuses herself, she has always had problems with personal relationships and lashes out at her family.",Overgeneralization,annotated
He left the room clearly upset because i splashed water on his face.,Mind Reading,annotated
"This is painful for me to write about, because of the fears i have that i really may be schizophrenic, but here goes!",Emotional Reasoning,annotated
I have no ability to maintain self control over anything I do.,Overgeneralization,annotated
"It’s like I’m underneath this huge spotlight that I can’t run away from, so I get panicked when there’s no shade near by. The air becomes thick and I feel like I’m trapped and suffocating.",Magnification,annotated
"I have Bipolar Disorder and some anxiety issues that cause panic attacks when I get overwhelmed by people, noises, stress, worrying, etc.",Magnification,annotated
But I have noticed my boyfriend is ALWAYS very angry and VERY short fused with his mother.,Overgeneralization,annotated
I haven’t told my parents about this because I don’t think that they would appreciate having a child who has mental issues and I don’t want to deal with the drama that will undoubtedly ensue.,Mind Reading,annotated
I have had a lot of bad relationships so I thought god finally answered my prayers. I WAS WRONG. We had an the worst argument I ever had with anyone!,All-or-Nothing Thinking,annotated
It’s not a body image thing it’s more I feel like a dick doing it and it seems very contrived & superficial but the only one suffering as a result of not doing it is me.,Labeling,annotated
I believe I’m a disappointment for these interests.,Labeling,annotated
I rarely ever go out and I’ve never had any friends in school.,Overgeneralization,annotated
"But, since we have been married, I have noticed that he gets his mind on a certain hobby and, well, almost obsesses about it.",Mind Reading,annotated
"She doesn’t know how I feel, at all, but I’m sure she can somewhat sense that I’m not doing okay.",Mind Reading,annotated
"I have no one else to turn to. I am so weak and broken, traumatized and beaten up.",Magnification,annotated
Like it doesn’t really affect me and it makes me feel that there’s something wrong with me.,Overgeneralization,annotated
I’m just so tired.. life is so tiring I cry at the slightest thing and this is affecting all of my relationships and im constantly sad and mad but I try so hard to never show it.,Magnification,annotated
"He seems to do it to make the others seem bad, and himself, the best.",Mind Reading,annotated
"Lately I’ve been feeling like nothing is going right in my life and I’m just too tired to deal with it.  For example, I’m working on a research project that I’m very stressed about but I didn’t tell my mom because she would get stressed and we’d end up yelling at each other.",Overgeneralization,annotated
"Whenever the conversation turns to anything but small talk, there is a chance that I could become tearful.",Magnification,annotated
I’m feeling completely blank and I’ve lost trust in myself. I don’t know what is wrong with me and things are suddenly becoming hard for me.,Magnification,annotated
It lasted all the way through high school and even now it is possible that he could start beating me.,Fortune-telling,annotated
I always think he’ll leave me for some pretty girl he’ll meet.,Fortune-telling,annotated
I am struggling enough to cope with me and my own feelings but I’m afraid he is the quiet horse that will not be able to pull himself out.,Mind Reading,annotated
I think my mom is soo stupid because they dont even have a good realtionship and at least i talk to her but shes alwasy on his side.,Labeling,annotated
"Whenever my partner and I get into an argument and my partner starts to ignore me, I tend to turn to my friends and tell them what just happened.. and I know this isn’t right! This often had made it even worse and we even lost friends due to this behavior… why am I doing this?",Personalization,annotated
I also think that my dad is trying to kill me poison me by putting things into my food but the reason I dont die is cause I have an extremely good resistant rate to the poison.,Mind Reading,annotated
"To be honest I don’t know what his feelings for me are really, because he never expresses himself.",All-or-Nothing Thinking,annotated
Those fantasies are so lucrative and pleasant its painful to wake up from them and realize that I am just a boring male.,Labeling,annotated
But that would have been awkward and upset the rest of the family members.,Mind Reading,annotated
"I’ll be very hyper, productive and sexually aroused over the littlest things. Then within a few days I’ll get really quiet and isolate myself. To point where I cut, and seriously plan and consider my suicide.",All-or-Nothing Thinking,annotated
"I have also became extremely introverted and since my exams finished, more than a month ago, have only really talked to one of my friends and seem to have dug a hole I cant get out of.",Fortune-telling,annotated
He has never accepted me for who I am.,Overgeneralization,annotated
"In fact, he doesn’t seem to think that these types of things even matter.",Mind Reading,annotated
"I feel like if I leave, I will regret it. I have so much fear.",Fortune-telling,annotated
"Everything I try at, I lose or fail.",Overgeneralization,annotated
"She is 14, and will be attending a dance school in NYC alone at the age of 16, and I want to get her help before it is too late.",Fortune-telling,annotated
I feel powerless.,Magnification,annotated
I do not believe this is normal but he has me almost convinced I am at fault for these stipulations.,Personalization,annotated
About a year ago I developed severe anxiety and had several panic attacks a day. Over time I developed more and more symptoms such as intrusive thoughts etc. However after quite some time I developed very worrying symptoms that make me think I am developing schiz/psychosis.,Magnification,annotated
I know that’s messed up.,Should statements,annotated
"’m 45 and just left my boyfriend after 28 years and i never had any other friends i find it hard to make friends i was abused as a child and now in very insecure with myself,I’ve just stopped smoking pot as well as he was a dealer and lived with paranoia as he wood rip people off, now I’ve left him and now living with my daughter and in getting to know her again but i still feel i can’t socialize with other people, in getting my own place and starting from scratch, i don’t know how to get new friends or in saying the wrong thing.",Fortune-telling,annotated
I would always cry and feel worthless because I always felt left out and thought they were getting closer to each other and they were going to leave me behind.,Fortune-telling,annotated
"I feel as if I have to lie because I’m scared of the outcome.  Please, please help before I either kill myself, or my mom disowns me.",Emotional Reasoning,annotated
im working on my dreams on the side but all i want to do in the day is commit suicide.,All-or-Nothing Thinking,annotated
This only happens with tweets and when Im stressing about going schizophrenic (almost 24/7now) Ive started having nightmares about my worst fears Anytime I get scared I think ima paranoid schizophrenic now.,Mental filter,annotated
"I have my whole life ahead of me and my grades match up fine, but as this keeps progressing I lose focus and patience. Everything feels empty and I keep buckling down and closing in.",Magnification,annotated
"also i cant really conect to anyone,i mean i love my boyfred and friends,but he breaks up with me ill be okey(but i really love him,and he means a lot to me)..",Overgeneralization,annotated
"She was my everything. After losing her, I feel like I have nobody.",Magnification,annotated
my anxiety is making me think of worst case scenarios,Fortune-telling,annotated
"For example, I didn’t really care where I ended up going to college, and I should.",Should statements,annotated
"i believe that everyone is watching me, and i cant trust anyone (that includes you), that there are cameras everywhere, that i am dead and that this is just someone trying to see how id be after my death.  i also have severe ptsd where at times i go completely deaf and nightmares, but the memories came back only recently (after 3 yrs) and i am sure im just making it up so i can pity myself and have a reason to be depressed.",Overgeneralization,annotated
"I know a guy died, but even now I just can’t get myself to care or feel sorry for him or his family, even though i know I should.",Should statements,annotated
I mostly think and worry about people I know doing this.,Mind Reading,annotated
"it seems like whatever I do now I always wrong.  talking to people makes me feel like an attention seeker, begging them to notice me.",Personalization,annotated
I KNOW he loves me very much and out of respect to me he would cut any of his friends off if I did not like them but I would never do that!,Mind Reading,annotated
"I’m 19 years old, and I have a great fear of developing schizophrenia.",Emotional Reasoning,annotated
it’s hard for me because she still talks to me every day I see her at college we have the same classes. it’s very hard because she gave me signals than she rejected me I don’t know if I should tell our common friend that she loves her I don’t know if a should stay by her side I don’t know if I should leave it’s just too hard for me I care for her and want to know if this bad relationship with her dad and our friend being caring are the reasons that she rejected me or she maybe thought that was love and she is just afraid of losing her best friend.,Mind Reading,annotated
"I don’t know why, but I enjoy feeling in control of others more than I should.",Should statements,annotated
"For pretty much my entire life, I’ve witnessed my mother acting like a lunatic.",Labeling,annotated
"I feel like if i do not do my obsession then something bad will happen. Such as my house burning down, family member getting ill or something bad happening to another human/animals.",Fortune-telling,annotated
"How do I stop myself from losing control, all of sudden I will be freaking out screaming at the top of my lungs at my bo?",Personalization,annotated
"I know this isn’t normal behaviour for any normal, functioning person but this is a last resort I suppose to really see if there is anything I can do before its too late.",Should statements,annotated
I am not sure what type of disorder I am suffering from but this problem is almost killing me I am very very very very depressed and want to commit suicide because I feel it is worthless to live this type of life.  I have changed school and in my class no one seemed to like me.,Magnification,annotated
I feel I am useless to my kids or my husband because of the psychological problems I cannot be normal. I cannot hold down a job.,Fortune-telling,annotated
What’s wrong with me?,Personalization,annotated
Anyways i think ive just got a messed up sense of humor and i just wanted to ask what you people thought.,Personalization,annotated
I haven’t told anyone this I know they’ll say “stop acting crazy” Or that’s ridiculous.,Mind Reading,annotated
She did hit me with a rolling pin or her hands and I used to be so scared to walk past her when she was in a bad mood cause I was afraid she’d hit me if I was in her reach.  I stay locked in my room because I know if I come out and have a conversation it would turn to the topic of my weight and end in a fight.,Mind Reading,annotated
"I just want to know what is wrong with me, and if there is anything I can do to stop it.",Personalization,annotated
I’m pretty sure not interacting at the critical point of social development has had lasting affects.,Overgeneralization,annotated
I know I should seek proper counseling and not ask questions online but I’m curious to hear your opinions on the matter.,Should statements,annotated
"There’s only two people I would never be able to kill, and they’re not a part of my family, which means I have to control myself greatly each day around the people I’m supposed to ‘love’.",Should statements,annotated
Can’t enjoy anything I love.,Overgeneralization,annotated
"I think I need Help, but I don’t wanna tell my Parents because they would probably sign me up for Confinement.",Mind Reading,annotated
I thought when I told him this is my first time he would defiantly do it more gently.,Mind Reading,annotated
I have a mental illness for sure.,Overgeneralization,annotated
"No one understands me, and I can’t explain because God knows how they will react.",Mind Reading,annotated
"I had panick attacks and couldn’t study at all in my last year in high school. I tried to talk to people but they just told me to try it harder when I was having awful days, and I just stopped searching help. Even now in university I find really hard to concentrate on anything. I’m never happy about any of my achievements and I think nothing is important in my life.",Mental filter,annotated
"Part of me thinks this is a routine, and just do the same thing and things will be okay, another part of me, thinks I should just let him go, because maybe I’m forcing him to stay with me.",Personalization,annotated
"During this time, a lot of traumatic memories have come alive and started to overtake my mind.",Magnification,annotated
She is ready to be upset anytime so much that I basically will not move another inch without thinking twice ’cause i find it very hard to predict what she expects.,Mind Reading,annotated
Nobody really knows me for who I am.,Overgeneralization,annotated
"I want to be sick, and I know that’s horrible, but I can’t help it.",Should statements,annotated
"Especially at night time where I think what if I am not really here, everything seems strange and weird around me. Not as much as that night that I took the syroup but sort of. IT’s just these thoughts are scaring me and make me think that I might be getting schizophrenia , or the onset of it…",Overgeneralization,annotated
"I have no idea if this is normal or not, but I didn’t want to talk to anyone about it in real life if it wasn’t normal, because then they’d probably just think that I was crazy or something (maybe I am, I don’t know).",Mind Reading,annotated
"It’s getting to the point we’re my parents are starting to get frustrated about it I have been called a “robot”, “unemotional”,and “cold” on multiple occasions and I don’t know what to do to stop being so impervious.",Personalization,annotated
Sometimes I even think I actually desire them or why else they would be always on my mind?,Overgeneralization,annotated
Because I am so afraid I am never going to have the opportunity to experience this.,Fortune-telling,annotated
He’s not there for me at my worst so he doesn’t deserve me at my best?,All-or-Nothing Thinking,annotated
"Also, it would only worsen the situation. Instead, if he spoke for him, they would be always forgive their son.",Fortune-telling,annotated
I am having ongoing difficulties in getting heard and am feeling really discouraged to the point that I don’t want to bother trying to communicate or assert as I feel it doesn’t work anyhow.,Overgeneralization,annotated
I’ve been losing emotions to everything.,Overgeneralization,annotated
"I’ve also had moments where I try to empathize with people in order to understand what they’re thinking, and maybe even try to “read their thoughts” in order to better connect with them.",Mind Reading,annotated
"however, I’m surprised and hurt that he would go to this event next weekend considering there will be people there that clearly have some strange vendetta against me that I can’t explain, nor do I know where it stems from. he says it shouldn’t matter to me, but it does.this is a big deal for me and I’m surprised he would walk over me like this",Magnification,annotated
"My parents and I have always not seen eye to eye, ever since I could walk there has always been physical and emotional abuse.",Overgeneralization,annotated
I live with the new one but I am dying inside being away from the first.,Magnification,annotated
We talked for a couple weeks until all of a sudden he would leave me on read. It broke my heart.,Magnification,annotated
"Another thing is that my mother loves lecturing me about how naïve I am and how I cannot possibly understand the real world. However, she appears not to see me literally wilting in front of her implied insults that she hurls at me without remorse.",Mind Reading,annotated
"I realized today that since high school, when something disappoints me, embarrasses me or makes me feel un-special in some way, I give up. I have quit jobs, left relationships, quit committees – not in a huff, I just quietly remove myself.",All-or-Nothing Thinking,annotated
"She drives all of us crazy,its hard to be around her. She is always asking my brother if he is mad at her because she thinks that he isn’t talking to her enough. She always wants pitty.",Overgeneralization,annotated
My therapist doesn’t know about my condition because she just keeps asking me only about my anxiety and everytime I try to tell her something of the above she seems to not be even listening to me.,Mind Reading,annotated
"I have obsessive thoughts every single day, about my job, about my weight, my friends, my studies in university.",Mental filter,annotated
He was verbally abusive and tried to control everything.,Overgeneralization,annotated
"I also suffer from anxiety and in the last year and 2 years ago I’ve became really paranoid, about being pregnant without penetration, about my boyfriend cheating and about my mom cheating, and all were false.",Mental filter,annotated
But I became so scared of having panic attacks I have shut myself in my home and can’t go anywhere.,Fortune-telling,annotated
"But with every year my self-esteem is spiraling downwards, the voices that say I will fail and I amount to nothing are haunting me but I can’t find the grit from my teen years to shut them up.",Mental filter,annotated
"He thinks that I stayed for so long because I actually enjoyed being sexually abused, and although he doesn’t mean to, he makes me feel like he thinks I am disgusting.  I don’t know how to talk to him without us both feeling like horrible people and I don’t know how to get over what happened when I feel like it’s invalid for me to be upset at all about what happened, since it wasn’t as bad as what many people experience.",Mind Reading,annotated
I feel like I’ve always been SO focused on what other people think and I just feel so awkward most of the time.,Mind Reading,annotated
I am unmotivated and I feel lazy all the time. I procrastinate all my school work and I have no sense of time management of all.  I’m really starting to hate myself because my personality just has so many flaws. I don’t think I’m a good person.,Overgeneralization,annotated
He seems confused as to why I don’t want to have them in my life.,Mind Reading,annotated
"Since then i have left, I was single after that for awhile. I started a new relationship with a childhood friend that lasted three years from that relationship we have a beautiful two-year old daughter, we are not together anymore, because of my trust issues, I know that this problem is standing in the way of our happiness, I have never caught my child’s father doing anything in that matter.",Overgeneralization,annotated
"I’m scared to talk about this with my therapist because I’m scared of what she might tell me. Plus I think my parents are sick of me talking about my trauma and I don’t want to be a bother.  Like sometimes I’m on top of the world and love everything and everyone and I’m ready to move out and be a doctor, but sometimes I want to die or I want to be ten years old and curl up in a ball and cry.",Fortune-telling,annotated
I was also incredibly paranoid about people breaking into my house (and thinking I would hear people breaking in) which would lead me to be up and down all night checking out sounds and checking doors to make sure they were locked.,Overgeneralization,annotated
"I don’t know what to do, I want to talk to her but this never happened before so I’m kind of scared, I don’t know how she’s going to react.",Mind Reading,annotated
"I always seem to feel guilty, but I have no clue why.",Personalization,annotated
I keep getting mad at my bf for the smallest things.,Magnification,annotated
"I am a 15 year old girl, I have suffered from depression and anxiety for about 5 years, but lately it’s been a lot more, for the past couple months physically I feel like I’m not controlling myself, I get angry or sad within seconds of being happy without control I’ll start to yell or breakout in violence.",All-or-Nothing Thinking,annotated
I can not speak to a professional because a diagnosis would almost certanly end my prospect of being these things.,Fortune-telling,annotated
"Now that we are broken up and he treats the relationship as if it were my fault for it ending and makes me do all the work to get him to talk to me, we have parted ways completely, and too often I have urges to harm him, mainly to show him the pain he caused me and my cause other, and also because he is entering the military with confidential computer data access which scares me.",Personalization,annotated
i live a normal life otherwise but i just lie so much i don’t know what’s wrong with me or why i do it and im too far in to stop now.,Personalization,annotated
"If I tell him to stop talking to them, he’ll hate me.",Fortune-telling,annotated
However ever since I had a chance to think about life – death thoughts have haunted me.,Mental filter,annotated
"I don’t trust mental health professionals because I’m afraid of what they (and my parents) will do to me if I tell the truth.   Everyone around me hates me, everyone thinks I’m crazy. I think I’m crazy.",Fortune-telling,annotated
"I have tried to confront my friends, they denied it but a part of me thinks if they actually are conspiring against me then that is exactly what they would say.",Mind Reading,annotated
I find nothing sexual about it at all but I feel like a freak.,Labeling,annotated
I’ve been sober now for six years when I relocated here but have been bombarded with circumstances beyond my control about which I hold a lot of resentment;there are times I feel that picking back up is my only answer.,Overgeneralization,annotated
"Somedays I want to be with her, some days I want her out of my life.",All-or-Nothing Thinking,annotated
"Mentally speaking, I feel worthless and feel extraordinarily detached from this world (I see the world from space!). My social skills are deteriorating day by day. I used to be an excellent man once but now I am nothing!",Labeling,annotated
"I know according to society and psychology that should bother me, but it doesn’t.",Should statements,annotated
I feel that my husband refuses to live in reality.,Personalization,annotated
I think it makes me a bad person even though I am fully honest with them.,Labeling,annotated
"I end up coming to the conclusion that I wish I’d never met them and I usually feel guilty about it, I feel like there is something wrong with me because it’s been happening since I was a young child.",Personalization,annotated
I am honestly afraid that I may be schizophrenic and I am not being properly treated.,Emotional Reasoning,annotated
"I have serious delusions, like every minute of every day I’m convinced I have a life threatening illness (STD’s even though I’ve never been sexually active, heart problems even though i’ve had a heart appointment and given the all clear and cancer because i’m paranoid) I HAVE HAD SERIOUS HALLUCINATIONS FOR THE PAST 4-5 YEARS THAT I AM CONVINCED ARE TRYING TO KILL ME.",Overgeneralization,annotated
"Hi, I am 24 and my sister is 22, and she has got to be the most selfish person (family wise) that I know.",Labeling,annotated
"I’m dealing with life issues (largely, career), as people do, and the response I get from my parents is (what I consider) unsupportive, negligent and wholly unresponsive.",Overgeneralization,annotated
I always worry about my relationships with my friends and other people and always conclude things about other people’s actions or thoughts causing me to act upon somethings or situation then regretting acting that way afterwards or act in the wrong way.,Mind Reading,annotated
I really hate gaining weight and I’m can’t stop thinking about it. The thing is that every time I start fasting I can’t complete the goal that I set and it makes me hate myself even more.   I’m very sensitive to failing at things due to school and I feel like a disappointment to my family especially my mom.,Mental filter,annotated
I’m so devastated how could I be so stupid for over two years?,Personalization,annotated
"Right now, it just seems like no matter what I do I’m stuck and I feel like I can’t speak to anyone about how I’m feeling because they will just all think I’d be throwing everything away because my fiancé is just great.",Mind Reading,annotated
And I’m starting to feel like I should just quit trying.,Should statements,annotated
"Just about anything can anger me now. Whether it is me stubbing my toe, my mom coughing or the neighbors making the tiniest bit of sound when taking out the trash",Magnification,annotated
I can’t figure out what my problem is and I can’t help but feel like I’m exaggerating the depth of it.,Personalization,annotated
My mother doesn’t know and I don’t plan to tell her. I don’t want her to think I’m more of a disgrace than I already am.,Mind Reading,annotated
"I don’t want it to wasted on me, a person who won’t live past twenty.",Fortune-telling,annotated
"I am worried about my sexual fantasies, and worried that if I start stressing about them too much it might just trigger another psychotic episode, so even though this is not a pleasant subject I really need to talk about it with someone, but since I don’t feel comfortable talking about this with anyone, I figured I could write about it here.",Fortune-telling,annotated
"Hello…I planned to do technique called (Image Streaming) to increase my IQ and this technique will increase the intensity of inner voice of me and I am afraid if this technique would cause psychosis or schizophrenia or any mental disorder to me So,is it possible?",Fortune-telling,annotated
"My dad held her to try and stop her, and as she was struggling to get out she looked back at me and told me that if she died it was all my fault. This lead to me believing that everything is always my fault.",Overgeneralization,annotated
For the quick rundown on everything I have a history of self harm I have been told that I am delusional when it comes to remembering events and conversations that took place within minutes of it happening I get frustrated and have random outburst due to it and do things I don’t mean to do like smash my head off the wall behind me with no explanation as to why I did I just kind of happened I have been diagnosed with bipolar depression severe anxiety and stress levels borderline schizophrenia and plausible brain damage to the right side of my brain haven’t gotten that confirmed because I don’t want to know if it’s true I feel lost and like everything is spiraling out of control and I have no idea who I am what is real and what my mind just makes up anymore and am afraid of what I could be or do and I don’t like the person I have seem to become from all this I feel irrational and crazy on a daily basis and break down about as often as when I was a kid and just don’t know what to do with myself or how to act half the time and apparently ignore everything and everyone who is around me at times and just zone out of everything I find large pieces of days I can’t remember and I am getting tired of life and fighting my own mind everyday and trying to tell the difference from reality and fantasy what is true from what I believe to be true and have no idea what to do anymore my thoughts are scattered and even as I reread this I can see that i feel hopeless alone lost and confused and don’t want t feel this way everyday but don’t have the ability or motivation to seek help and to go to psych all the time I hate talking about how I feel and what I think my issues are because I don’t know I can’t tell one feeling from the next because it all ties back to frustration or aggravation it seems that’s all I feel,Labeling,annotated
Since young I had constant mood swings and extreme emotions. I said things that weren’t logical or had any sense at all.,Overgeneralization,annotated
I don’t know if I’m delusional or a genius.,All-or-Nothing Thinking,annotated
"I highly doubt a week-long break will cure this; I don’t want to insult him, but I’m not sure how to say that I think this is something he probably needs to speak to a professional about, and not deal with on his own.",Fortune-telling,annotated
I keep telling myself maybe she might get it and I try to stay strong but cry every time because of how bad she makes me feel. I try to sound strong mentally but it is killing me.,Magnification,annotated
I guess that somehow it clicked into my older brothers head that it was ok to do the same thing to us.,Mind Reading,annotated
"This has ruined my friendship, my family, and my whole life.",Magnification,annotated
(I should also mention that I suspect that I have borderline personality disorder due to emotional neglect/abuse from my parents and suddenly 4 years ago all my friends (known them for 7+ years) abandoned me.,Overgeneralization,annotated
"He knows but my parents do not. My family is Mormon but I am not, and I don’t want to disappoint my parents more than I already have.",Mind Reading,annotated
"I’m not in school, I don’t have a full time job, I don’t even know how to drive, and I feel like I have nothing to live for.",Mental filter,annotated
"I don’t know if the thoughts have anything to do with schizophrenia, since i had those thoughts for a long time. All i want to know is how to control those thoughts, since i start feeling like someday i could do that without thinking, as an impulse.",Fortune-telling,annotated
From the minute she wakes up in the morning she starts challenging us and I really don’t know what to do.,Overgeneralization,annotated
"The second factor is I was worried about my mother, she is too sensitive and I was almost certain she wouldn’t be able to handle and live with such an action.",Mind Reading,annotated
"By the time they are 18, most people have already had their first kiss and quite a lot of them have already had sex. I haven’t even come close to kissing anybody and I am terribly embarrassed by that.",Should statements,annotated
"A weirder example is when I got a second cat, I kept trying to convince my parents to give her away because I liked the dynamic of having one cat,it meant no favourites and the thought of things changing made me cry just thinking about it.",Magnification,annotated
"My issue is this, every single and I mean every single thing that I do that is not done to perfection I beat myself up about.  Furthermore it has lead to a hatred for myself and a deep sadness.",Personalization,annotated
I have always had issues with emotional attachment and lack any form of emotional connection with any thing.,Overgeneralization,annotated
And somehow I end up feeling like its all my fault when really I can’t get my head to stop spinning from trying to figure out what in the heck just happened!,Personalization,annotated
"I was lonely when I was younger, I was isolated and different from my peers.I wonder if this have anything to do with my relatives (cousins, parents,siblings)’s OCD and Asperger.",Overgeneralization,annotated
"I just don’t feel like she cares. The only reason I can think of her dismissing it is because she is ok with it, there is no reason I shouldn’t be.",Mind Reading,annotated
My boyfriend’s mother seemed to like me at first but since he and I have moved in together she has been my worst enemy.,All-or-Nothing Thinking,annotated
"Other things to note that might help with a diagnosis is that I have a tendency to catastrophize. For example, I feel like my husband’s family does not like me. I will stew about it until I become worried that they are going to kill me and leave my body somewhere.",Magnification,annotated
"But she was very manipulative, controlling, and cruel.",Labeling,annotated
I think I’m insane!,Labeling,annotated
What I do believe is that I only matter based on what I give to humanity.,Overgeneralization,annotated
I’m unhappy and I hate that because I don’t have anything to be unhappy about.  This looming sense that nothing’s going to work out.,Personalization,annotated
I have avoided it because I am scared that I will feel that way and go back on things that I have worked so hard to conquer.,Fortune-telling,annotated
"I really don’t know how to say this but I’ve been wanting to have a mental disorder for years now, and I know you will think I’m just seeking attention like everyone else, but I’m not.",Mind Reading,annotated
"the drink will kill her one day, unless she stops.",Fortune-telling,annotated
"Hello doctor — I hope I get an answer for my questions because I desperately need one the problem is not in me but my mother, two months ago mom called my dad and when the discussion was over she over heard him saying stuff to another woman, and since then she was shocked and my dad completely denies it but she won’t believe it the problem is she became like a different person, she stalks every move he does she took away his phone she’s suspicious about every little thing he does, no matter how he treats her she keeps giving him a hard time and never satisfied, she began talking to herself, she faints and starts screaming like a maniac, when she sleeps she wakes up in the middle of the night screaming and cursing dad, when I talk with her she never listens she keeps repeating the same thing saying she keeps replaying the words he said to that woman and its killing her and that she still can’t believe it and hopes that it’s just a nightmare she’ll wake up from and she starts questioning everything that has happened before, in short the home is a wreck dad is sick of everything, my little sisters are confused and I’m really worried about them, and mostly mom’s mental health I feel like she’s going crazy soon and its killing me no matter what we say to her she won’t listen she treats all of us badly, I just don’t know what to do I’m really worried and living a nightmare I hope I get some advice.",Mental filter,annotated
I’m really worried that he will fully isolate himself if he does that but I could also see how it would be good for him.,Fortune-telling,annotated
I assume people want me dead when they give me criticism.  I was bullied as a child and in my teenage years and that is giving me a lot of problems.,Mind Reading,annotated
"throughout my childhood she dragged me to numerous doctors to “fix” me, filling my childhood with hundred of different medications and injections.  i rarely spoke to her for fear of being screamed at.",Overgeneralization,annotated
