index,text,extracted,reasoning,predicted_label
851,My intense fear of becoming schizophrenic was born!,"""My intense fear of becoming schizophrenic""","The statement reflects an intense fear about a future event (becoming schizophrenic) without any evidence that it will actually occur. This is a prediction about the future based on fear rather than facts. The person assumes they will become schizophrenic, which exemplifies predicting a negative outcome without sufficient evidence.",Fortune-telling
852,"The part that bothers me the most, however, is the fact that I am unsure if I am just making these things up in my head to somehow punish myself.",I am unsure if I am just making these things up in my head to somehow punish myself,"The speaker is expressing doubt about the reality of their thoughts and feelings, suspecting they might be fabricating or distorting them as a form of self-punishment. This involves an internal questioning of whether their perceptions are accurate or imagined. This fits with the distortion of 'Emotional Reasoning,' where feelings (uncertainty, self-punishment) are assumed to reflect objective truth, leading the person to believe that their negative feelings indicate that their thoughts must be false or self-inflicted. The statement does not involve predicting the future (Fortune-telling), assigning global labels, or any other listed distortions.",Emotional Reasoning
853,"I’ve never asked or had the courage to seek for help before, mainly because I don’t want to be a burden to people and feel my ‘problem’ (if I have one) isn’t important.",I don’t want to be a burden to people; feel my ‘problem’ (if I have one) isn’t important.,"The speaker assumes that by asking for help, they will become a burden to others, which is a form of mind reading—believing to know what others will think or feel without evidence. Additionally, they minimize their own problem as unimportant, which fits within this cognitive distortion because they are interpreting others' potential reactions and their own problem’s significance inaccurately.",Mind Reading
854,But it recently got out of hand as they are getting noisier and messier. When I ask for silence it just gets louder.,"""it recently got out of hand"", ""they are getting noisier and messier"", ""When I ask for silence it just gets louder""","The statement describes a situation worsening over time, focusing on increasing noise and messiness, and a failed attempt to request silence leading to louder noise. The person is emphasizing the negative escalation (noisier, messier, louder) without any balancing positive or neutral information. This exaggeration of negative aspects and the sense that the problem is escalating out of control fits the definition of Magnification, where minor or moderate problems are blown out of proportion.",Magnification
855,"The glitch, to the perfect story comes a few months after we started dating. He misses dinner and a weekend we were supposed to have together and doesn’t return my phone calls.","the glitch, perfect story, misses dinner and a weekend, doesn’t return my phone calls","The statement describes a specific negative event ('the glitch') that disrupts an otherwise 'perfect story'. The focus is on one or a few negative details (missed dinner, missed weekend, no returned calls) overshadowing the entire relationship experience. The term 'the glitch' suggests a mental filter where the negative aspects are highlighted and dominate perception, ignoring other positive experiences. There is no indication of assuming others' thoughts (mind reading), no extreme all-or-nothing phrasing beyond 'perfect story' being disrupted, and no direct emotional reasoning or predictions about the future. Thus, the dominant distortion is filtering out the positive and focusing solely on negative details.",Mental filter
856,"My fiancé has his own apartment and I want to move in, but I am feeling guilty about it since I give so much to my parents financially, I worry they won’t be able to afford our current house on their own.","feeling guilty about moving in because I give so much to my parents financially, worry they won’t be able to afford their current house on their own","The person feels guilty about their desire to move in with their fiancé due to financial support they provide to their parents. The worry is that if they move out, their parents may not be able to afford their house. This involves predicting a negative future outcome (parents not affording the house) without definite evidence and letting that prediction influence their current emotions and decisions. This is a form of assuming a negative future scenario, which aligns with fortune-telling.",Fortune-telling
857,"Thing is, my mood goes up and down — sort of like Bipolar, but the majority of the time, I’m depressed. when i’m in an “up” mood, (which is more like unbelievable anger rather than elation, with the occasional happy high,) I hate myself for even thinking it, and punish myself for being so selfish — not thinking about what it’d do to my family, but when I’m in a depressed mood, It seems to be the only way out, and the thought is a sort of stimulant.","“my mood goes up and down — sort of like Bipolar, but the majority of the time, I’m depressed”; “when I’m in an ‘up’ mood, (which is more like unbelievable anger rather than elation, with the occasional happy high,) I hate myself for even thinking it, and punish myself for being so selfish — not thinking about what it’d do to my family”; “when I’m in a depressed mood, it seems to be the only way out, and the thought is a sort of stimulant.”","The speaker describes fluctuating moods, mostly depressed, with self-directed hatred and punishment during angry or 'up' moods, and perceives depressive feelings as 'the only way out' with a stimulating effect. The key cognitive distortion is the use of emotional states to justify beliefs and actions (e.g., hating oneself because of feeling anger; believing depression thoughts as the only solution). This reflects Emotional Reasoning, where feelings are taken as evidence of truth, leading to punitive and despairing cognitions.",Emotional Reasoning
858,"I realized that I play this role of being a friendly person, pretending to understand others and their idiotic problems.","play this role of being a friendly person, pretending to understand others and their idiotic problems","The statement suggests the speaker believes they are not genuinely friendly and only pretending to understand others. The word 'idiotic' reflects a negative and judgmental label applied to others' problems. This indicates a harsh labeling distortion, as the speaker assigns a negative label both to themselves ('pretending') and to others' problems ('idiotic'), rather than viewing these traits or situations more neutrally or accurately.",Labeling
859,I have worst case of white coat hypertension.,,,ERROR
860,"I am partly afraid to do the wrong thing, say something wrong, gesturing wrong, act out of place as ever.","afraid to do the wrong thing, say something wrong, gesturing wrong, act out of place","The statement shows a fear of making mistakes in multiple social behaviors, anticipating negative outcomes without certainty. This reflects predicting failure or embarrassment before it happens, based on an assumption rather than evidence. The distortion involves expecting future negative events to occur, which aligns with 'Fortune-telling.' It is not all-or-nothing since it refers to various possible mistakes, not a single extreme outcome. It’s not emotional reasoning because the statement explicitly expresses fear rather than assuming something is true based on feelings. It is different from mind reading or labeling, as it focuses on the person's own anticipated actions rather than others' thoughts or assigning fixed labels. There is also no 'should' statement involved.",Fortune-telling
861,Ok let me start with the fact i dont like to be mad but I get mad at everything and people dont help what so ever.,I get mad at everything and people dont help what so ever,"The phrase 'I get mad at everything' suggests a broad generalization of the speaker's emotional responses to all situations. The phrase 'people dont help what so ever' also generalizes others' behavior as completely unhelpful. These two aspects indicate overextending a single experience to all instances without exceptions, which aligns with overgeneralization.",Overgeneralization
862,"The problem is he never wants to go anywhere with my children and me. When he gets home from work, he’s highly irritable and often goes around the house criticizing me for practically everything.   I feel like my feelings don’t matter.","""he never wants to go anywhere with my children and me"", ""he’s highly irritable"", ""often goes around the house criticizing me for practically everything"", ""I feel like my feelings don’t matter""","The statement highlights a pattern where the speaker perceives consistent negative behavior from another person (e.g., 'never wants to go anywhere', 'highly irritable', 'criticizing for practically everything'). The use of words like 'never' and 'practically everything' indicates an extreme generalization from specific events. This suggests the speaker is making a broad conclusion based on limited instances, which aligns with overgeneralization rather than focusing on isolated incidents or objective facts. Additionally, the feeling that 'my feelings don’t matter' stems from interpreting these patterns in a global, overgeneralized way.",Overgeneralization
863,"I literally see a mental picture of myself being punched, slapped, abused, shot, decapitated, multilated, head crushed with a building, etc. I feel deeply offended when criticized, I don’t “hang out” with my peers and feel inferior to them, never been to a party or other social gathering, I feel others are always judging me and they remember every mistake I’ve ever made even though it’s illogical to think so, I’ve never had a girlfriend, I find it hard to trust others, and my only escape is fantasies I indulge in while I’m alone.",I feel others are always judging me and they remember every mistake I’ve ever made even though it’s illogical to think so,"The statement reflects a belief about what others think without clear evidence, essentially assuming others constantly judge and remember all mistakes. This is a classic example of 'mind reading,' where the individual presumes to know the thoughts and feelings of others, typically in a negative way. Although other distortions appear in the text, such as feelings of inferiority and magnification of criticism, the clearest cognitive distortion expressed by the belief in others' constant judgment and memory of mistakes fits best with mind reading.",Mind Reading
864,It’s been three months and I can’t stop thinking about them.,It’s been three months and I can’t stop thinking about them.,"The statement indicates a persistent and repetitive negative focus on a specific thought ('can’t stop thinking about them'). This reflects a tendency to concentrate on one particular negative aspect or thought, filtering out everything else. The phrase 'can’t stop thinking' suggests an absorption in this thought with potential emotional distress. This fits the description of a 'Mental filter,' where the person dwells on a single negative detail to the exclusion of other aspects.",Mental filter
865,"sometimes, I cry because I could not focus or listen well.","sometimes, I cry because I could not focus or listen well","The statement attributes the emotional reaction (crying) directly to the perceived failure of not focusing or listening well. This reflects Emotional Reasoning, where the person assumes that their feelings (crying) are evidence of the truth of the situation (inability to focus or listen), rather than evaluating the situation objectively. The statement does not imply an extreme view (all-or-nothing), prediction (fortune-telling), or other distortions. Hence, the best fit is Emotional Reasoning.",Emotional Reasoning
866,They seem not to love and support me.,They seem not to love and support me,"The statement assumes knowledge of others' feelings and intentions without explicit evidence. It implies that the speaker knows what others are thinking or feeling, which they cannot be sure of. This aligns closely with Mind Reading, where one believes they know what others think or feel without confirmation.",Mind Reading
867,"for a long time now i have felt empty and bored with life, i have had no ambition or motivation to do anything, i always see how people have dreams and aspirations but i have no desire for anything, not even money can buy me happiness.","for a long time now i have felt empty and bored with life, i have had no ambition or motivation to do anything, i always see how people have dreams and aspirations but i have no desire for anything, not even money can buy me happiness","The statement expresses a persistent feeling of emptiness and lack of motivation, highlighting a belief that nothing can bring happiness, including money. It generalizes this condition as a permanent state ('for a long time now'), and contrasts the speaker's lack of desires with others' dreams. This reflects an overgeneralization where a specific emotional state (feeling empty and unmotivated) is extended broadly to conclusions about life and happiness as a whole. There is no evidence of all-or-nothing extremes, should statements, or fortune-telling but rather a sweeping negative conclusion about self and life.",Overgeneralization
868,I am also deathly afraid of being judged by others about my decisions. I have worked a little but struggled in that environment because i cannot concentrate because i feel others are saying or thinking bad things about me.,deathly afraid of being judged by others; cannot concentrate because I feel others are saying or thinking bad things about me,"The individual expresses a fear based on what they think others are judging or saying about them, despite no direct evidence presented. This reflects the assumption that one knows what others are thinking negatively. The focus is on interpreting others' thoughts without confirmation, which is characteristic of Mind Reading cognitive distortion. There is no indication of broader overgeneralization, black-and-white thinking, or should statements; the key distortion lies in assuming knowledge of others' negative judgments.",Mind Reading
869,I have an extensive conversation with myself about everything negative about my life and it always leads to me trying to figure out whether or not I might actually have a problem.,an extensive conversation about everything negative about my life; trying to figure out whether I might actually have a problem,"The statement focuses solely on negative aspects ('everything negative about my life'), indicating a selective focus on negatives and ignoring positives. This aligns with the 'Mental filter' distortion, where a person filters out positive information and dwells on the negative. Additionally, the ongoing internal conversation and doubt about having a problem suggest a filtering mechanism of negative content rather than a broader cognitive distortion like all-or-nothing or labeling.",Mental filter
870,"I’ll run through this order multiple times, typically until I get to wherever I’m going or encounter other people because I’m worried they will judge me for speaking to myself.   I’m always worried that I’m going to forget something on that list and that something bad will happen because I don’t complete that particular thing.",worried they will judge me for speaking to myself; always worried that I’m going to forget something on that list and that something bad will happen because I don’t complete that particular thing,"The statement shows the person expects other people to judge them, assuming they know what others think, which aligns with mind reading. Additionally, the person worries something bad will happen if they forget something on the list, predicting a negative future event without evidence, which aligns with fortune-telling. However, the worry about others judging them is explicitly about assuming others' thoughts, making mind reading the more prominent distortion here.",Mind Reading
871,"For the last three years, I never felt right. I started to cut myself because I wanted to punish myself because I hated myself. I am a very insecure person and I have never like one thing about myself.","""I never felt right"", ""I wanted to punish myself because I hated myself"", ""I am a very insecure person"", ""I have never liked one thing about myself""","The statement expresses a global, pervasive negative evaluation of the self that is applied broadly across time and situations ('never felt right', 'never liked one thing about myself'). This reflects a generalized conclusion drawn from potentially limited evidence. The focus on broad negative statements about the self over a long period is characteristic of overgeneralization, where one or two negative experiences or feelings lead to a sweeping negative judgment about the whole self or life.",Overgeneralization
872,"I have been suffering from obsessive fears for 7 years now, however for one year I have developed an obsession about having anxiety during a special moment where I am supposed to be happy.","""suffering from obsessive fears for 7 years"", ""obsession about having anxiety during a special moment where I am supposed to be happy""","The sentence describes a long-term pattern of obsessive fears, but specifically highlights a newly developed obsession related to anticipating anxiety at a special happy moment. This implies the person is predicting or expecting anxiety will occur during that event, despite it being a positive occasion. This reflects 'fortune-telling,' wherein a person predicts negative outcomes without sufficient evidence and treats the prediction as a certainty. The focus is on anticipating an unwanted emotional state (anxiety) in the future event, which fits the definition of Fortune-telling distortion.",Fortune-telling
873,"I love my little brother a lot and I could never hurt someone, but I’m so scared of those urges turning into reality.  I get an image of the situation and right when I snap out of it I start wondering what’s wrong with me, why am I like this.","I love my little brother a lot and I could never hurt someone, but I’m so scared of those urges turning into reality. I get an image of the situation and right when I snap out of it I start wondering what’s wrong with me, why am I like this.","The person recognizes that they have intrusive urges but immediately worries those urges will become actual behavior, despite affirming their love and non-violent intent. This reflects a fear-based prediction about a negative future event. The worry about 'those urges turning into reality' is a form of predicting an unfavorable outcome without evidence, consistent with 'Fortune-telling'. The subsequent self-questioning shows distress but is not labeling or personalization, and there is no evidence of black-and-white thinking, emotional reasoning, or magnification beyond future prediction.",Fortune-telling
874,I have sever bi polar disorder and it is not ideal for me to work and be around people in fear i may be so upset i will hurt them.,"""it is not ideal for me to work and be around people in fear I may be so upset I will hurt them""","The statement shows the person assuming a negative emotional state (being upset) will likely lead to a harmful action (hurting others). This is based on their feelings or fear rather than evidence or objective reasoning, representing emotional reasoning — interpreting reality primarily through emotions.",Emotional Reasoning
875,I feel like I can’t talk to my mother about this because she scares me when I bring up issues in school.  Anytime I read an article about depression I start crying for no reason.,I feel like I can’t talk to my mother about this because she scares me when I bring up issues in school. Anytime I read an article about depression I start crying for no reason.,"The first sentence expresses a feeling of fear in response to interacting with the mother about school issues. This is based on an emotional reaction (being scared) influencing the belief that communication is not possible. The second sentence describes an emotional reaction (crying) triggered by reading about depression, attributed to 'no reason,' which suggests emotions are driving the perception rather than an objective reality. Both phrases demonstrate reasoning driven by feelings rather than facts, which aligns with the distortion known as Emotional Reasoning.",Emotional Reasoning
876,"I feel like I’m 100% going to explode on her one day, but I love my mom to death.",I feel like I’m 100% going to explode on her one day,"The phrase shows the speaker is predicting a future event with absolute certainty ('100% going to explode'), which reflects a belief in knowing what will happen despite no actual evidence. This aligns with the cognitive distortion of 'Fortune-telling', where someone predicts negative outcomes without certainty. The expression of love for the mom indicates the complexity of emotions but does not change the nature of the distortion evident in the predictive statement.",Fortune-telling
877,I was scared that this is an Heart attack or a stroke.  This feeling was so scary and I just felt like I was going absolutely nuts.I was so scared that I will lose control and that I could harm my kids.,"""I was scared that this is a Heart attack or a stroke"", ""I just felt like I was going absolutely nuts"", ""I was so scared that I will lose control and that I could harm my kids.""","The statement reflects fear based on feelings alone, interpreting physical sensations as signs of a severe medical crisis (heart attack or stroke) and mental instability ('going absolutely nuts'). This is used as evidence of imminent danger or loss of control, despite no direct factual confirmation. The individual is reasoning from their emotional state ('scared') to conclude that something dangerous or catastrophic must be happening. This is a classic case of Emotional Reasoning, where feelings are taken as proof of reality regardless of objective facts.",Emotional Reasoning
878,I still see his face yelling those things to me till this day.,I still see his face yelling those things to me till this day.,"The phrase indicates a persistent emotional experience where the person visualizes and feels the emotional impact of someone yelling at them, even though the yelling is not currently happening. This suggests that the person is basing their feelings on their emotional state or memories rather than objective facts. The statement reflects an emotional response driving their perception, consistent with Emotional Reasoning.",Emotional Reasoning
879,"For a very, very long time – about 4 years now – I’ve been certain I have a personality disorder.","For a very, very long time – about 4 years now – I’ve been certain I have a personality disorder.","The statement shows that the person has been certain for a long duration about having a personality disorder. This certainty over an extended period without fluctuating suggests rigid labeling of themselves with a negative identity rather than objectively evaluating their traits or behavior. The phrase 'I’ve been certain I have a personality disorder' reflects self-identification using a diagnostic label, which aligns with the cognitive distortion called 'Labeling' where one assigns a fixed, negative label to oneself.",Labeling
880,"When i get these “anxiety attacks” i feel like i cant contain what i am feeling anymore and it manifests in things like me forgetting to breath and shaking my body and griping at y scalp while crying, or feeling like i cant do anything at all but just stare into nothing and listen.","""i feel like i cant contain what i am feeling anymore"", ""forgetting to breath"", ""shaking my body and griping at my scalp while crying"", ""feeling like i cant do anything at all but just stare into nothing and listen""","The statement describes intense emotional experiences where the person feels overwhelmed and physically distressed. The phrase 'i feel like i cant contain what i am feeling anymore' indicates the individual is using their emotional state as evidence of the reality of the situation (that they are losing control). This is a hallmark of 'Emotional Reasoning,' where one believes that something must be true because they feel it strongly, regardless of objective evidence.",Emotional Reasoning
881,I’m so scared for him and myself because I just want to understand what could be going on… I want to help him and I just want to know a possible diagnosis.,I’m so scared for him and myself; I just want to understand what could be going on; I want to help him; I just want to know a possible diagnosis.,"The speaker expresses fear and a desire to understand and predict what might be happening, specifically seeking a possible diagnosis. This indicates that they are attempting to foresee or predict an uncertain future outcome (the diagnosis) without having concrete information yet. There is no indication of all-or-nothing extremes, personal blame, or rigid 'should' statements. The focus is on anticipating an unknown event, which aligns with the distortion type of 'Fortune-telling'.",Fortune-telling
882,"I have questioned the fit the entire time, but I’ve really improved and and feel she is helping me so I always chalked it up to my issues as to why I am questioning the fit.",I have questioned the fit the entire time; I’ve really improved and feel she is helping me; I always chalked it up to my issues as to why I am questioning the fit.,"The speaker acknowledges ongoing doubts about the fit but also recognizes improvement and help received. Instead of attributing the fit issues to the external situation or the helper, they assume all the blame lies with themselves by 'chalking it up to my issues.' This self-blame reflects the cognitive distortion of Personalization, where one assumes undue responsibility for events or outcomes that are likely influenced by external factors.",Personalization
883,"We do have some difficulties but usually are able to talk it through. Now, she has a loss of desire for me. Our sex life is almost inexistant.","We do have some difficulties but usually are able to talk it through. Now, she has a loss of desire for me. Our sex life is almost inexistant.","The statement acknowledges that there are some difficulties but they are usually resolved by communication, which shows a balanced view. The focus then shifts to a current problem: a loss of desire and a nearly nonexistent sex life. The speaker is stating observable facts without jumping to conclusions or making extreme generalizations. There is no evidence of an absolute all-or-nothing perspective, exaggerated negativity, assumptions about the partner's thoughts (mind reading), or attributing blame personally. The statement is largely factual and not based on emotional reasoning or future predictions. Thus, it does not fit typical cognitive distortions and represents a realistic appraisal of the situation.",No Distortion
884,"Not to mention that I have literally modeled my entire personality after an idea of what I think a specific celebrity is like.  And I’m afraid that I’m obsessed with them, or that I might try to hurt them for some reason, or maybe that there’s not really a real “me”, or that I’m still that overweight, gross, depressed, talentless and ignored kid I was in grade school.","modeled my entire personality after an idea of a celebrity; afraid I’m obsessed with them; might try to hurt them; maybe not a real 'me'; still that overweight, gross, depressed, talentless, and ignored kid from grade school","The speaker is catastrophizing multiple negative possibilities about themselves (obsession, potential harm) without evidence, indicating fortune-telling. They also strongly label themselves with harsh negative terms from the past, which reflects labeling. However, the predominant cognitive distortion is predicting frightening future outcomes (obsession, hurting) and doubting the reality of self, fitting fortune-telling. While labeling is present, the fear of negative future events and assuming they will happen without actual proof is central to fortune-telling. Therefore, the main distortion is Fortune-telling.",Fortune-telling
885,Im afraid to drink caffeine or eat anything that could possibly cause me any anxiety or worsen my feelings.,afraid to drink caffeine or eat anything that could possibly cause anxiety or worsen feelings,"The statement shows a fear or anticipation that certain actions (drinking caffeine or eating certain foods) will lead to an outcome (anxiety or worsened feelings). This anticipates a negative future event without certainty. This aligns with predicting negative outcomes in the future, which corresponds with the distortion type 'Fortune-telling'. There is no indication of magnification in perceiving the intensity, no labeling of self or others, no black-and-white thinking, or emotional reasoning based purely on feelings rather than facts.",Fortune-telling
886,"There are times where I feel completely fine emotionally, but I’ll find myself thinking “I hate my life” or “I’m a worthless pice of crap” or something else along those lines.","""I hate my life"", ""I’m a worthless piece of crap""","The key phrases reflect extremely negative self-judgments that generalize the person's worth or life situation. The use of strong, absolute terms like 'hate' and 'worthless' point to labeling, where the individual assigns a global negative label to themselves based on certain thoughts or feelings. There is no indication of all-or-nothing thinking about events, nor predicting the future (fortune-telling), nor focusing on just one negative detail (mental filter), nor interpreting feelings as facts (emotional reasoning). Instead, the person is attaching a negative label to themselves. Therefore, the distortion fits best with Labeling.",Labeling
887,I fear they won’t understand.,I fear they won’t understand,"The key phrase here indicates a belief about what others think or will think without actual evidence ('they won’t understand'). This reflects an assumption about someone else's thoughts or reactions. It fits the pattern of predicting or assuming knowledge of others' minds, which aligns with 'Mind Reading' rather than other distortions that focus on emotional states or extreme thinking patterns.",Mind Reading
888,"I want to tell my doctor but I am so scared, I’m so scared to go back to the person I was and I’m scared of the person I am currently.","""I am so scared to go back to the person I was""; ""I’m scared of the person I am currently""","The speaker expresses intense fear related to both past and present self, reflecting feelings driven primarily by emotion rather than concrete evidence or logical assessment. The fear of reverting to the past self or discomfort with the current self indicates they are interpreting the situation based on how they feel (fear) rather than objective reality. This aligns with 'Emotional Reasoning,' where feelings are taken as indisputable facts about oneself or the situation.",Emotional Reasoning
889,"I don’t have anyone to talk to about this, since I don’t want friends and family to know what I’m thinking, and I don’t want them to know I’m a failure…",I don’t want friends and family to know what I’m thinking; I don’t want them to know I’m a failure,"The speaker assumes that others will view them as a 'failure' if they knew their thoughts. This implies making a negative judgment about how others perceive them without direct evidence, which fits the distortion of labeling (assigning a negative label to oneself). Although there is an element of fear about disclosure, the core distortion lies in applying a harsh, global label to oneself ('failure').",Labeling
890,I thought of breaking up with him but have been staying on because I’m afraid he will resort to self-harm to cope with the pain or do something more terrible.,"""I’m afraid he will resort to self-harm to cope with the pain or do something more terrible.""","The statement reflects a prediction about a negative future event without certainty. The person is assuming that if they break up, the partner will definitely harm themselves or do something worse. This aligns with 'Fortune-telling,' where an individual predicts negative outcomes without evidence, leading to distress and avoidance behavior.",Fortune-telling
891,I fear it will be a lot more if I can’t stop.  My husband doesn’t know how much I am spending and I am terrified he’ll find out.,I fear it will be a lot more if I can’t stop. My husband doesn’t know how much I am spending and I am terrified he’ll find out.,"The statement expresses a fear or prediction about a future event ('I fear it will be a lot more if I can’t stop') and anticipates a negative outcome that has not yet occurred (her husband finding out about the spending). This reflects predicting a negative future without sufficient evidence, which aligns with the distortion of 'Fortune-telling.' Although there is anxiety involved, the core distortion centers on making a negative assumption about the future, rather than interpreting present emotional state as truth (Emotional Reasoning), or assuming knowledge of others' thoughts (Mind Reading).",Fortune-telling
892,"I realize that psychopaths aren’t wired to feel anxiety or irrational thinking, which, the anxiety alone would preclude me from possibly being a psychopath, but am still worried about the possibility of sociopathy.","I realize that psychopaths aren’t wired to feel anxiety or irrational thinking, which the anxiety alone would preclude me from possibly being a psychopath, but am still worried about the possibility of sociopathy.","The speaker acknowledges a logical reason why they are not a psychopath (lack of anxiety), but despite this, they continue to worry about being a sociopath. This worry about future possibility despite evidence to the contrary indicates they are predicting a negative outcome without sufficient evidence. This fits the pattern of Fortune-telling, where someone anticipates a negative event or outcome without certainty.",Fortune-telling
893,Many people love to be around me and I have never had a problem socially and can get along with just about anyone.,Many people love to be around me; I have never had a problem socially; can get along with just about anyone.,"The statement highlights positive social experiences and generalizes them broadly ('many people', 'never had a problem', 'just about anyone'). It extrapolates from past and present experiences to make a sweeping claim about the speaker's social abilities. This is a classic case of overgeneralization, where a specific set of positive experiences is applied universally. There is no distortion towards negativity or extreme thinking, but rather an expansive general statement based on past evidence.",Overgeneralization
894,"i think university (stress, having no passion towards my degree, feelings of inadequacy) is a very huge trigger.","university (stress, having no passion towards my degree, feelings of inadequacy) is a very huge trigger","The statement identifies university as a significant trigger due to stress, lack of passion, and feelings of inadequacy, emphasizing the intensity of the negative impact. This reflects an exaggerated perception of difficulty or threat, which aligns with magnifying the negative aspects. There is no indication of absolute extremes (all-or-nothing), predicting future outcomes (fortune-telling), interpreting others' thoughts (mind reading), or making broad generalizations. The focus is on amplifying the negative emotional impact rather than mislabeling or personalization.",Magnification
895,"Some days, I can’t even get out of bed because I on those days, I wish I would have died in my sleep.","Some days, I can’t even get out of bed; on those days, I wish I would have died in my sleep.","The statement reflects a deep emotional pain and despair that influences the person's interpretation of their state, equating their inability to get out of bed with a wish for death. This reasoning is based on how they feel emotionally rather than objective facts, which indicates that their feelings dictate their belief about the situation (wishing to be dead because of feelings of despair). There is no evidence of absolute thinking (all-or-nothing), predicting the future (fortune-telling), or blaming others (personalization). The core distortion lies in believing that the emotional suffering itself proves the reality of the situation, which aligns with Emotional Reasoning.",Emotional Reasoning
896,"But I’ve only had three sessions of psychotherapy and I don’t have all that much money, so I’m worried that I have to skip appointments so I can pay my bills and such.","I don’t have all that much money, so I’m worried that I have to skip appointments","The statement expresses a worry or prediction about future events based on current circumstances (limited money and few sessions). This reflects anticipating a negative outcome without concrete evidence, which aligns with the cognitive distortion known as 'Fortune-telling'. The person predicts they will likely have to skip therapy appointments due to financial constraints.",Fortune-telling
897,"However, we never met except for twice, though she hangs out almost freely with friends, but she never hangs out with me or even talk to me on the phone because she says that I rise her level of anxiety, she seems to be uncaring and selfish, I can never let out any negative feelings of mine with her because it rises her anxiety and she acts uncaring and selfish, and she turns the table around to make her the center of the situation, I had a surgery last week and guess what, she went to the movies the same day.   I don’t know if she’s toxic or not, but I can’t leave the relationship because i’m afraid she would suicide or harm herself in anyway.","she seems to be uncaring and selfish; she acts uncaring and selfish; she turns the table around to make her the center of the situation; I don’t know if she’s toxic or not, but I can’t leave the relationship because I’m afraid she would suicide or harm herself in any way.","The speaker attributes negative traits ('uncaring and selfish') to the other person based on limited interactions, generalizing these traits to the whole character. This is an example of labeling, where a global negative label is assigned to someone based on specific behaviors. Additionally, the speaker shows fear about leaving due to possible harm but that reflects a realistic concern rather than a distortion. The primary distortion is assigning a permanent, negative character label rather than considering complexities or exceptions.",Labeling
898,I want to live my life without all of the negative thoughts and worries. I want to enjoy life again rather than thinking of it as “just having to get through it”.,"""want to live my life without all of the negative thoughts and worries"", ""want to enjoy life again"", ""rather than thinking of it as ‘just having to get through it’""","The speaker expresses a desire to eliminate all negative thoughts and worries completely, implying a wish for a life without any negativity. This reflects an 'all-or-nothing' perspective where life is either enjoyed fully or endured through negativity, without any middle ground. There is no indication of assuming future events (fortune-telling), labeling oneself or others, or other types of distortions. Instead, the key distortion here is the polarized thinking about life experiences.",All-or-Nothing Thinking
899,I can’t tell if she just really can’t understand me or if she really doesn’t care what I have to say.,she really can’t understand me or she really doesn’t care what I have to say,"The statement involves assuming what the other person understands or cares about without direct evidence. The speaker is attributing thoughts and feelings to the other person (either inability to understand or indifference). This reflects 'Mind Reading,' which is the distortion of assuming knowledge of others’ mental states without confirmation.",Mind Reading
900,"It took everything within me to not express my rage. I wanted to scream, I wanted to cut, I wanted to burn my entire house down even if it meant death to my whole family just so I could die in it – but that’s not me.","It took everything within me to not express my rage. I wanted to scream, I wanted to cut, I wanted to burn my entire house down even if it meant death to my whole family just so I could die in it – but that’s not me.","The statement highlights an intense emotional experience and impulses but concludes with a self-judgment: 'but that’s not me.' This indicates the individual is recognizing that despite these extreme urges, their identity does not align with acting on them. The distortion involves interpreting the presence of these feelings and impulses as definitive of the self or as absolute in nature. However, the key cognitive error here is the implied categorization of self through extreme and absolute terms, which aligns with All-or-Nothing Thinking—a pattern where something is seen as entirely one way or completely opposite, with no middle ground.",All-or-Nothing Thinking
901,"I have no one in my life and even though my main diagnosis is paranoid schizophrenia I have sadly these incurable, negative symptoms.","""I have no one in my life"", ""my main diagnosis is paranoid schizophrenia"", ""these incurable, negative symptoms""","The phrase ""I have no one in my life"" is an overgeneralization, implying a complete absence of social connections which might not be entirely true or might represent a broad negative conclusion. The statement ""these incurable, negative symptoms"" reflects a fixed, absolute conclusion about the prognosis, which also aligns with overgeneralization, as it takes a situation and concludes it applies broadly and unchangeably. The focus on a fixed negative outcome and a sweeping conclusion about personal relationships fits best with overgeneralization rather than other distortions like labeling or emotional reasoning.",Overgeneralization
902,"Knowing I have no control over the connectivity of others, I am inevitably presented with someone’s phone in my face as people I am with want to show me a photo or something on Facebook (which I deliberately took myself off of), this repels me but I don’t want to be rude or self-righteous, it makes me not want to be around friends/loved ones, it also depresses me, I am seeking strategies to deal with this.","‘Knowing I have no control over the connectivity of others’, ‘someone’s phone in my face’, ‘this repels me but I don’t want to be rude or self-righteous’, ‘it makes me not want to be around friends/loved ones’, ‘it also depresses me’","The speaker recognizes that they cannot control others' actions (someone showing photos on their phone), which causes discomfort and repulsion. This leads to feelings of wanting to avoid social interactions and experiencing depression. The core issue is the emotional response ('this repels me', 'depresses me') to an external event, and the speaker treats these feelings as evidence of reality ('it makes me not want to be around friends/loved ones'). This fits the pattern of Emotional Reasoning, where feelings are used to infer facts or truths about situations.",Emotional Reasoning
903,This person I liked admitted they had feelings for me and I thought I had feelings for them but I just began to feel annoyed.,"""I just began to feel annoyed"" after the person admitted feelings and initial mutual feelings.","The statement reflects a change in emotional response based on an internal feeling ('I just began to feel annoyed') rather than any external evidence or logical assessment of the situation. The person interprets their feelings as evidence of something significant about the relationship or themselves, which aligns with emotional reasoning—assuming that an emotion reflects objective reality. There is no indication of all-or-nothing thinking, fortune-telling, labeling, or other distortions like mind reading or personalization.",Emotional Reasoning
